system:index,EVI,NDVI,name,.geo
2005_05_25_00000000000000000000,2604,4382,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_05_25_00000000000000000001,2604,4382,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_05_25_00000000000000000002,2613,4389,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_05_25_00000000000000000003,3691,5931,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_05_25_00000000000000000004,3520,5646,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_05_25_00000000000000000005,2904,4477,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_06_10_00000000000000000000,2786,4196,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_06_10_00000000000000000001,2786,4196,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_06_10_00000000000000000002,2838,4259,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_06_10_00000000000000000003,3835,5871,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_06_10_00000000000000000004,3475,5361,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_06_10_00000000000000000005,2111,3509,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_06_26_00000000000000000000,2864,4163,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_06_26_00000000000000000001,2864,4163,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_06_26_00000000000000000002,2870,4274,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_06_26_00000000000000000003,3450,5366,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_06_26_00000000000000000004,3191,4938,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_06_26_00000000000000000005,2026,3290,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_07_12_00000000000000000000,2153,3364,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_07_12_00000000000000000001,2153,3364,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_07_12_00000000000000000002,2627,3974,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_07_12_00000000000000000003,3136,5042,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_07_12_00000000000000000004,3402,5283,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_07_12_00000000000000000005,2896,4376,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_07_28_00000000000000000000,2409,3943,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_07_28_00000000000000000001,2409,3943,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_07_28_00000000000000000002,2371,3906,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_07_28_00000000000000000003,2942,5090,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_07_28_00000000000000000004,2831,4808,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_07_28_00000000000000000005,2439,3722,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_08_13_00000000000000000000,2187,3446,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_08_13_00000000000000000001,2187,3446,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_08_13_00000000000000000002,2340,3656,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_08_13_00000000000000000003,3085,5094,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_08_13_00000000000000000004,3212,5092,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_08_13_00000000000000000005,1924,3095,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_08_29_00000000000000000000,2251,3480,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_08_29_00000000000000000001,2251,3480,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_08_29_00000000000000000002,2529,3819,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_08_29_00000000000000000003,3258,5450,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_08_29_00000000000000000004,2952,4931,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_08_29_00000000000000000005,2333,3654,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_09_14_00000000000000000000,2352,3890,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_09_14_00000000000000000001,2352,3890,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_09_14_00000000000000000002,2457,4028,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_09_14_00000000000000000003,3477,5831,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_09_14_00000000000000000004,3288,5320,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_09_14_00000000000000000005,1719,3039,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
2005_09_30_00000000000000000000,2178,3854,LJN1,"{""type"":""Point"",""coordinates"":[-3.4623715722722817,36.96799000134881]}"
2005_09_30_00000000000000000001,2178,3854,LJN2,"{""type"":""Point"",""coordinates"":[-3.4618008073374402,36.9686811620121]}"
2005_09_30_00000000000000000002,2154,3807,LJN3,"{""type"":""Point"",""coordinates"":[-3.4608421006109498,36.97031765209871]}"
2005_09_30_00000000000000000003,551,1835,LJQ1,"{""type"":""Point"",""coordinates"":[-3.462710463952343,36.95780541454274]}"
2005_09_30_00000000000000000004,709,2109,LJQ2,"{""type"":""Point"",""coordinates"":[-3.4645297771821486,36.9562090563656]}"
2005_09_30_00000000000000000005,880,2163,LJQ3,"{""type"":""Point"",""coordinates"":[-3.468351226784952,36.95300742180923]}"
